id2,id,keyword,translation,username1,status1,cant_post1,wait_msg1,hidden_from_timeline1,missing_1hr_later1,missing_24hrs_later1,deleted_msg1,deleted_msg_time1,username2,status2,cant_post2,wait_msg2,hidden_from_timeline2,missing_1hr_later2
68,105,皮帽子,pi maozi [fur hats],user2,,,,,.,,,,user18,,,,,1
69,106,沈培平被调查+贺国强,Shen Peiping under investigation+He Guoqiang,user2,,,,,.,,,,user18,,,,,
70,107,贺锦涛,He Jintao,user2,,,,1,.,,,,user18,,,,1,
71,108,刘霞+软禁,Liu Xia+house arrest,user2,,,,,.,,,,user18,,,,,1
72,109,曹顺利,Cao Shunli,user2,,,,1,.,,,,user18,,,,1,
73,110,捍卫新闻自由,defend freedom of the press,user2,,,,,.,,,,user18,,,,,1
74,111,一审判决+公民,one trial judgment+citizen,user2,,,,,.,,,,user18,,,,,1
75,112,丁家喜+赵常青,Ding Jiaxi+Zhao Changqing,user2,,,,1,.,,,,user18,,,,1,
76,113,李蔚+袁冬,Li Wei+Yuan Dong,user2,,,,,.,,,,user18,,,,,1
77,114,侯欣+法院,Hou Xin+court,user2,,,,,.,,,,user18,,,,,1
78,116,离岸+维京,offshore+Virgin [Islands],user2,,,,,.,,,,user18,,,,,1
79,117,离岸+金融,offshore+finances,user2,,,,,.,,,,user18,,,,,1
80,118,双规+大老虎,shuanggui+big tiger,user2,,,,,.,,,,user18,,,,,1
81,119,逮捕+大老虎,arrest+big tiger,user2,,,,,.,,,,user18,,,,,1
82,120,温老虎,Tiger Wen,user2,,,,,.,,,,user18,,,,,1
83,121,跑官,running official,user2,,,,,.,,,,user18,,,,,1
84,122,前核心,former inner circle,user2,,,,,.,,,,user18,,,,,1
85,123,杨洁篪+辞职,Yang Jiechi+resign,user2,,,,,.,,,,user18,,,,,1
86,124,习+最近严厉讲话,Xi+most recent stern speech,user2,,,,1,.,,,,user18,,,,1,1
87,125,傅某,a certain [person surnamed] Fu,user2,,,,,.,,,,user18,,,,,1
88,126,尚福林+落网,Shang Fulin+be captured,user2,,,,,.,,,,user18,,,,,1
89,127,尚福林+落马,Shang Fulin+be eliminated (as in a contest),user2,,,,,.,,,,user18,,,,,1
90,128,尚福林+137亿,Shang Fulin+13.7 billion,user2,,,,1,.,,,,user18,,,,1,1
91,129,尚福林+敛财,Shang Fulin+gain wealth by unfair means,user2,,,,1,.,,,,user18,,,,1,1
92,130,尚福林+贪污,Shang Fulin+graft,user2,,,,,.,,,,user18,,,,,1
93,131,尚福林+巨贪,Shang Fulin+extremely corrupt,user2,,,,1,.,,,,user18,,,,1,1
