id,name,banned,results,datetested,trigger,results2,datetested2,translation
516,总书记+打车,,587,2014-05-11 10:13:40 UTC,,4124,2014-11-03 21:15:10 UTC,secretary-general+hail a car
517,总书记+打的,,426,2014-05-11 10:14:03 UTC,,7218,2014-11-03 21:15:57 UTC,secretary-general+hail a taxi
518,圣奴隶,,43,2014-05-11 10:14:28 UTC,,39379,2014-11-03 21:16:41 UTC,saintly slaves
519,耀邦,,479983,2014-05-11 10:14:52 UTC,,1630789,2014-11-03 21:17:31 UTC,Yaobang
520,24周年,,125,2014-05-11 10:15:15 UTC,,11140022,2014-11-03 21:18:18 UTC,24th anniversary
521,改革派,1,-1,2014-05-11 10:15:39 UTC,改革派,0,2014-11-03 21:19:15 UTC,reformist
522,胡赵,1,-1,2014-05-11 10:16:52 UTC,胡赵,0,2014-11-03 21:19:56 UTC,Hu Zhao
523,胡总书记,1,-1,2014-05-11 10:18:03 UTC,胡总书记,0,2014-11-03 21:20:36 UTC,Secretary-General Hu
524,纽约时报+宝宝,,239,2014-05-11 10:18:27 UTC,,862,2014-11-03 21:21:26 UTC,New York Times+baby
525,任贤良,,373,2014-05-11 10:18:51 UTC,,4392,2014-11-03 21:22:03 UTC,Ren Xianliang
526,该关就关,,998,2014-05-11 10:19:15 UTC,,8251,2014-11-03 21:22:27 UTC,close those which must be closed
527,个人媒体+无法无天,,118,2014-05-11 10:19:39 UTC,,453,2014-11-03 21:22:52 UTC,individual media+defy both heaven and law
528,统筹两个舆论场,1,-1,2014-05-11 10:21:16 UTC,统筹两个舆论场,0,2014-11-03 21:23:13 UTC,coordinate two spaces for public opinion
529,陕西省委宣传部,,34615,2014-05-11 10:21:40 UTC,,30951,2014-11-03 21:23:36 UTC,Shaanxi Provincial Party Committee Propaganda Department
530,陕西宣传部,1,-1,2014-05-11 10:22:52 UTC,陕西宣传部,0,2014-11-03 21:23:58 UTC,Shaanxi Propaganda Department
531,马三家女子劳教所,,169,2014-05-11 10:23:16 UTC,,24744,2014-11-03 21:24:20 UTC,Masanjia Women’s Labor Re-education Camp
532,十年前非典+十年后禽流感,,98880,2014-05-11 10:23:39 UTC,,9279,2014-11-03 21:24:44 UTC,SARS ten years ago+bird flu ten years later
533,竹席,,773,2014-05-11 10:24:03 UTC,,387924,2014-11-03 21:25:07 UTC,bamboo mat
534,猪席,1,-1,2014-05-11 10:25:17 UTC,猪席,0,2014-11-03 21:25:50 UTC,pig mat
535,主习,1,-1,2014-05-11 10:26:29 UTC,主习,0,2014-11-03 21:26:10 UTC,lord Xi
536,猪习,1,-1,2014-05-11 10:27:40 UTC,猪习,0,2014-11-03 21:26:31 UTC,pig Xi
537,zhu习,,3,2014-05-11 10:28:04 UTC,,724,2014-11-03 21:26:52 UTC,zhu mat
538,习+facebook,1,-1,2014-05-11 10:29:16 UTC,习facebook,0,2014-11-03 21:27:13 UTC,Xi+facebook
539,习+脸谱,1,-1,2014-05-11 10:30:28 UTC,习脸谱,0,2014-11-03 21:27:33 UTC,Xi+facebook
540,xi主席,1,-1,2014-05-11 10:31:43 UTC,xi主席,0,2014-11-03 21:27:54 UTC,Chairman xi
541,蛤蛤,1,-1,2014-05-11 10:32:54 UTC,蛤蛤,0,2014-11-03 21:28:14 UTC,Toady
542,蛤丝,1,-1,2014-05-11 10:34:05 UTC,蛤丝,0,2014-11-03 21:28:35 UTC,Toad thread
543,蛤主席,1,-1,2014-05-11 10:35:17 UTC,蛤主席,0,2014-11-03 21:28:55 UTC,Chairman Toad
544,戒严,1,-1,2014-05-11 10:35:40 UTC,戒严,0,2014-11-03 21:29:15 UTC,martial law
545,国保,1,-1,2014-05-11 10:36:54 UTC,国保,0,2014-11-03 21:29:36 UTC,Domestic Security Department
546,一党执政,1,-1,2014-05-11 10:38:07 UTC,一党执政,0,2014-11-03 21:29:56 UTC,one party holds power
547,昆明+PX,,136791,2014-05-11 10:38:30 UTC,,121661,2014-11-03 21:30:20 UTC,Kunming+PX
548,安宁+PX,,608,2014-05-11 10:38:54 UTC,,31962,2014-11-03 21:30:45 UTC,Anning+PX
549,抵制PX,,239,2014-05-11 10:39:18 UTC,,85574,2014-11-03 21:31:09 UTC,boycott PX
550,习boss,1,-1,2014-05-11 10:40:30 UTC,习boss,0,2014-11-03 21:31:31 UTC,boss Xi
551,习+国母,1,-1,2014-05-11 10:42:06 UTC,国母,0,2014-11-03 21:31:51 UTC,Xi+first lady
552,习+彭,,939,2014-05-11 10:42:37 UTC,,323326,2014-11-03 21:32:16 UTC,Xi+Peng
553,习+假,,42915,2014-05-11 10:43:01 UTC,,67130,2014-11-03 21:32:42 UTC,Xi+fake
554,习+王,,272327,2014-05-11 10:43:25 UTC,,445567,2014-11-03 21:33:09 UTC,Xi+king
555,习+江,1,-1,2014-05-11 10:44:36 UTC,习江,0,2014-11-03 21:33:51 UTC,Xi+Jiang
556,习+总,1,-1,2014-05-11 10:45:49 UTC,习总,0,2014-11-03 21:34:33 UTC,Xi+chief
557,习+李,1,-1,2014-05-11 10:47:01 UTC,习李,0,2014-11-03 21:35:12 UTC,Xi+Li
558,九总统,,204,2014-05-11 10:47:25 UTC,,984,2014-11-03 21:35:55 UTC,nine presidents
559,hu+wen,,42850,2014-05-11 10:47:49 UTC,,21703,2014-11-03 21:36:41 UTC,hu+wen
560,黄浦江+死猪,,242,2014-05-11 10:48:13 UTC,,2148030,2014-11-03 21:37:36 UTC,Huang River+dead pigs
561,彭丽媛+同款,,318,2014-05-11 10:48:36 UTC,,855,2014-11-03 21:38:30 UTC,Peng Liyuan+similar items
562,第一夫人+同款,,323009,2014-05-11 10:49:00 UTC,,175337,2014-11-03 21:39:23 UTC,first lady+similar items
563,彭阿姨,1,-1,2014-05-11 10:50:12 UTC,彭阿姨,0,2014-11-03 21:40:08 UTC,Auntie Peng
564,习+老,,451861,2014-05-11 10:50:37 UTC,,387373,2014-11-03 21:40:57 UTC,Xi+old
565,江派,1,-1,2014-05-11 10:51:48 UTC,江派,0,2014-11-03 21:41:36 UTC,Jiang faction
566,黄挖挖,,4945,2014-05-11 10:52:11 UTC,,3093,2014-11-03 21:42:00 UTC,Digger Huang
567,黄WW,,778272,2014-05-11 10:52:36 UTC,,864123,2014-11-03 21:42:26 UTC,Huang WW
568,黄新初+下课,,62,2014-05-11 10:53:00 UTC,,268,2014-11-03 21:42:51 UTC,Huang Xinchu + end class
569,彭州+石化,,143441,2014-05-11 10:53:24 UTC,,147461,2014-11-03 21:43:16 UTC,Pengzhou + petrochemical industry
570,涛宝,1,-1,2014-05-11 10:54:37 UTC,涛宝,0,2014-11-03 21:43:38 UTC,Tao-Bao
571,席总,,6608,2014-05-11 10:55:00 UTC,,7223,2014-11-03 21:44:02 UTC,Chief Xi
572,反对票,,988,2014-05-11 10:55:24 UTC,,1124125,2014-11-03 21:44:27 UTC,dissenting vote
573,预测+领导人,,79105,2014-05-11 10:55:52 UTC,,57755,2014-11-03 21:44:50 UTC,predict + leaders
574,预测+主席,,21458,2014-05-11 10:56:17 UTC,,19723,2014-11-03 21:45:14 UTC,predict + chairman
575,预测+总理,,6592,2014-05-11 10:56:41 UTC,,4144,2014-11-03 21:45:39 UTC,predict + prime minister
576,终身成就奖,,2558588,2014-05-11 10:57:06 UTC,,911940,2014-11-03 21:46:03 UTC,lifetime achievement award
577,权力+交接,1,-1,2014-05-11 10:58:18 UTC,权力交接,0,2014-11-03 21:46:24 UTC,power + handover
578,胡习,1,-1,2014-05-11 10:59:29 UTC,胡习,0,2014-11-03 21:46:45 UTC,Hu-Xi
579,习胡,1,-1,2014-05-11 11:00:40 UTC,习胡,0,2014-11-03 21:47:05 UTC,Xi-Hu
580,猪投上海,,2692833,2014-05-11 11:01:04 UTC,,249505,2014-11-03 21:47:26 UTC,pig-throw Shanghai
581,路透+数据库,,112,2014-05-11 11:01:27 UTC,,326,2014-11-03 21:47:49 UTC,Reuters + database
582,中国官场,1,-1,2014-05-11 11:02:40 UTC,中国官场,0,2014-11-03 21:48:11 UTC,Chinese officialdom
583,connected China,,428,2014-05-11 11:03:04 UTC,,2066,2014-11-03 21:48:34 UTC,connected China
584,陈思思,,500,2014-05-11 11:03:29 UTC,,674414,2014-11-03 21:48:59 UTC,Chen Sisi
585,瘟疫,,3004823,2014-05-11 11:03:53 UTC,,2290778,2014-11-03 21:49:24 UTC,pestilence
586,揭阳,,8315834,2014-05-11 11:04:17 UTC,,5825113,2014-11-03 21:49:49 UTC,Jieyang
587,揭西,,806045,2014-05-11 11:04:41 UTC,,542600,2014-11-03 21:50:14 UTC,Jiexi
588,yu素鸡,1,-1,2014-05-11 11:05:53 UTC,yu素鸡,0,2014-11-03 21:50:36 UTC,yu veggie chicken
589,蛤蟆精,1,-1,2014-05-11 11:07:04 UTC,蛤蟆精,0,2014-11-03 21:50:56 UTC,Toad Spirit
590,哄产党,,25,2014-05-11 11:07:28 UTC,,329,2014-11-03 21:51:20 UTC,Commu-kidding Party
591,金人庆,,319,2014-05-11 11:07:52 UTC,,2062,2014-11-03 21:51:45 UTC,Jin Renqing
592,上浦,,4767665,2014-05-11 11:08:17 UTC,,64959,2014-11-03 21:52:19 UTC,Shangpu
593,棉湖,,739,2014-05-11 11:08:40 UTC,,6188,2014-11-03 21:53:11 UTC,Mianhu
594,误邦国,1,-1,2014-05-11 11:09:52 UTC,误邦国,0,2014-11-03 21:53:53 UTC,Wu Bangguo
595,无邦国,1,-1,2014-05-11 11:11:04 UTC,无邦国,0,2014-11-03 21:54:34 UTC,Wu Bangguo
596,吴绑国,1,-1,2014-05-11 11:12:39 UTC,吴绑国,0,2014-11-03 21:55:16 UTC,Wu Bangguo
597,吴帮国,1,-1,2014-05-11 11:14:15 UTC,吴帮国,0,2014-11-03 21:55:56 UTC,Wu Bangguo
598,无帮国,1,-1,2014-05-11 11:15:52 UTC,无帮国,0,2014-11-03 21:56:42 UTC,Wu Bangguo
599,误帮国,1,-1,2014-05-11 11:17:27 UTC,误帮国,0,2014-11-03 21:57:24 UTC,Wu Bangguo
600,新闻封锁,1,-1,2014-05-11 11:18:39 UTC,新闻封锁,0,2014-11-03 21:58:06 UTC,news blackout
601,长春+禁令,,103,2014-05-11 11:19:03 UTC,,3096,2014-11-03 21:58:54 UTC,Changchun + ban
602,长春+报道要求,,186,2014-05-11 11:19:28 UTC,,7219,2014-11-03 21:59:40 UTC,Changchun + reporting requirements
603,接班,,8941030,2014-05-11 11:19:52 UTC,,5931280,2014-11-03 22:00:25 UTC,succeed
604,温家宝+卸任,,4944,2014-05-11 11:20:16 UTC,,6186,2014-11-03 22:00:50 UTC,Wen Jiabao + leave office
605,温+十年,,1404423,2014-05-11 11:20:40 UTC,,1300895,2014-11-03 22:01:15 UTC,Wen + ten years
606,执政+十年,,214286,2014-05-11 11:21:04 UTC,,235202,2014-11-03 22:01:41 UTC,govern + ten years
607,送温神,1,-1,2014-05-11 11:22:40 UTC,送温神,0,2014-11-03 22:02:02 UTC,see off the god Wen
608,瘟神,,563790,2014-05-11 11:23:05 UTC,,383722,2014-11-03 22:02:25 UTC,the god of plague
609,X产党,,192,2014-05-11 11:23:29 UTC,,631,2014-11-03 22:02:49 UTC,Commun-x Party
610,沙逼+北京,,781160,2014-05-11 11:23:52 UTC,,430967,2014-11-03 22:03:13 UTC,sand c**t + Beijing
611,两会+雷人,,377392,2014-05-11 11:24:16 UTC,,134032,2014-11-03 22:03:39 UTC,Two Sessions + shock
612,五不搞,,235677,2014-05-11 11:24:40 UTC,,95950,2014-11-03 22:04:04 UTC,Five Do-Nots
613,三个至上,1,-1,2014-05-11 11:25:52 UTC,三个至上,0,2014-11-03 22:04:26 UTC,Three Above-Alls
614,影帝+谢幕,,209,2014-05-11 11:26:16 UTC,,895,2014-11-03 22:04:49 UTC,movie star + take a curtain call
615,三鞠躬,,825,2014-05-11 11:26:40 UTC,,377614,2014-11-03 22:05:14 UTC,three bows
616,温家宝+房价,,26673,2014-05-11 11:27:04 UTC,,55674,2014-11-03 22:05:39 UTC,Wen Jiabao + housing prices
617,影帝+wen,1,-1,2014-05-11 11:28:40 UTC,影帝wen,0,2014-11-03 22:06:00 UTC,movie star + wen
618,捍卫新闻自由,1,-1,2014-05-11 11:30:16 UTC,捍卫新闻自由,0,2014-11-03 22:06:21 UTC,defend freedom of the press
619,舆论钳制,1,-1,2014-05-11 11:31:28 UTC,舆论钳制,0,2014-11-03 22:06:41 UTC,suppression of public opinion
620,王登朝,,202704,2014-05-11 11:31:52 UTC,,75263,2014-11-03 22:07:04 UTC,Wang Dengchao
621,朱瑞峰,,1611749,2014-05-11 11:32:16 UTC,,776410,2014-11-03 22:07:29 UTC,Zhu Ruifeng
622,体制外200万,1,-1,2014-05-11 11:33:51 UTC,体制外200万,0,2014-11-03 22:07:50 UTC,2 million outside of the system
623,体制外二百万,1,-1,2014-05-11 11:35:30 UTC,体制外二百万,0,2014-11-03 22:08:11 UTC,two million outside of the system
624,去温,,11170195,2014-05-11 11:35:54 UTC,,85774,2014-11-03 22:08:35 UTC,go warm
625,刁总,1,-1,2014-05-11 11:37:06 UTC,刁总,0,2014-11-03 22:08:57 UTC,President Sly
626,刁主席,1,-1,2014-05-11 11:38:18 UTC,刁主席,0,2014-11-03 22:09:17 UTC,Chairman Sly
627,贾不假,1,-1,2014-05-11 11:39:30 UTC,贾不假,0,2014-11-03 22:09:38 UTC,The Jia family is not fake
628,白玉为堂金做马,1,-1,2014-05-11 11:41:05 UTC,白玉为堂金做马,0,2014-11-03 22:09:59 UTC,white jade form the Halls; gold compose their horses
629,我的奋斗,,89216295,2014-05-11 11:41:26 UTC,,449251,2014-11-03 22:10:17 UTC,Mein Kampf
630,月月鸟,,89216295,2014-05-11 11:41:47 UTC,,0,2014-11-03 22:10:37 UTC,Moon Moon Bird
631,新京报社长,,110420,2014-05-11 11:42:08 UTC,,62892,2014-11-03 22:11:01 UTC,Beijing News president
632,XJB,,118686,2014-05-11 11:42:30 UTC,,46923,2014-11-03 22:11:26 UTC,XJB
633,戴自更,,54389,2014-05-11 11:42:51 UTC,,29906,2014-11-03 22:11:52 UTC,Dai Zigeng
634,戴社长,,305,2014-05-11 11:43:15 UTC,,820,2014-11-03 22:12:16 UTC,President Dai
635,社长+辞职,,166465,2014-05-11 11:43:39 UTC,,72180,2014-11-03 22:12:42 UTC,president + resign
636,新京报+辞职,,126896,2014-05-11 11:44:02 UTC,,80424,2014-11-03 22:13:07 UTC,Beijing News + resign
637,转载环球,,260421,2014-05-11 11:44:27 UTC,,182822,2014-11-03 22:13:38 UTC,reprint Global [Times]
638,289,,15687970,2014-05-11 11:44:52 UTC,,10469325,2014-11-03 22:14:26 UTC,289
639,报社,,12654513,2014-05-11 11:45:16 UTC,,8802221,2014-11-03 22:15:14 UTC,press office
640,广州大道,,1082841,2014-05-11 11:45:40 UTC,,684945,2014-11-03 22:16:03 UTC,Guangzhou Avenue
641,献花,,7400134,2014-05-11 11:46:05 UTC,,9136376,2014-11-03 22:16:53 UTC,present flowers
642,NF,,1628441,2014-05-11 11:46:29 UTC,,1447338,2014-11-03 22:17:35 UTC,NF
643,nanzhou,,58,2014-05-11 11:46:53 UTC,,4124,2014-11-03 22:18:23 UTC,nanzhou
644,southern+weekend,,259,2014-05-11 11:47:16 UTC,,637,2014-11-03 22:19:20 UTC,southern + weekend
645,共同声明,,832244,2014-05-11 11:47:41 UTC,,31972,2014-11-03 22:20:07 UTC,joint statement
646,报禁,,1025123,2014-05-11 11:48:05 UTC,,532063,2014-11-03 22:20:52 UTC,press prohibition
647,新闻自由,,2660681,2014-05-11 11:48:29 UTC,,1598318,2014-11-03 22:21:39 UTC,freedom of the press
648,贺词,,3133075,2014-05-11 11:48:53 UTC,,2681899,2014-11-03 22:22:31 UTC,message of greeting
649,献词,,489,2014-05-11 11:49:17 UTC,,649731,2014-11-03 22:23:20 UTC,dedication message
650,违宪,1,-1,2014-05-11 11:49:41 UTC,违宪,0,2014-11-03 22:24:04 UTC,violate the constitution
651,南,,233808366,2014-05-11 11:50:06 UTC,,176964775,2014-11-03 22:24:49 UTC,south
652,方,,711567040,2014-05-11 11:50:30 UTC,,441637573,2014-11-03 22:25:42 UTC,place
653,周,,1022122443,2014-05-11 11:50:54 UTC,,694803442,2014-11-03 22:26:29 UTC,week
654,末,,131599471,2014-05-11 11:51:19 UTC,,77099991,2014-11-03 22:27:19 UTC,end
655,nf+zm,,42,2014-05-11 11:51:43 UTC,,193,2014-11-03 22:28:07 UTC,nf + zm
656,nanfang,,52739,2014-05-11 11:52:07 UTC,,31771,2014-11-03 22:28:57 UTC,nanfang
657,读懂中国,,771,2014-05-11 11:52:31 UTC,,724994,2014-11-03 22:29:46 UTC,read and understand China
658,宪政,1,-1,2014-05-11 11:52:55 UTC,宪政,0,2014-11-03 22:30:26 UTC,constitutionalism
659,中国梦,,68257589,2014-05-11 11:53:19 UTC,,52786431,2014-11-03 22:30:49 UTC,China dream
660,中宣,1,-1,2014-05-11 11:54:32 UTC,中宣,0,2014-11-03 22:31:11 UTC,Central Propaganda [Department]
661,宣传部,,12421102,2014-05-11 11:54:56 UTC,,8729887,2014-11-03 22:31:34 UTC,Propaganda Department
662,审查,,15936307,2014-05-11 11:55:21 UTC,,11091897,2014-11-03 22:31:57 UTC,censor
663,庹,,920,2014-05-11 11:55:45 UTC,,552767,2014-11-03 22:32:22 UTC,Tuo
664,坨,,31549676,2014-05-11 11:56:09 UTC,,23810176,2014-11-03 22:32:48 UTC,lump
665,2000+大禹治水,,935,2014-05-11 11:56:33 UTC,,12372,2014-11-03 22:33:13 UTC,2000 + Yu the Great Controls the Waters
666,南周,,6620634,2014-05-11 11:56:57 UTC,,985881,2014-11-03 22:33:38 UTC,Nan Zhou
667,南方周末,,9174452,2014-05-11 11:57:22 UTC,,5347570,2014-11-03 22:34:03 UTC,Southern Weekly
668,公开信,,7432234,2014-05-11 11:57:46 UTC,,4560530,2014-11-03 22:34:28 UTC,open letter
669,献词事件,,308181,2014-05-11 11:58:10 UTC,,82482,2014-11-03 22:34:54 UTC,New Year's greeting
670,庹震,1,-1,2014-05-11 11:59:22 UTC,庹震,0,2014-11-03 22:35:16 UTC,Tuo Zhen
671,坨震,,63,2014-05-11 11:59:45 UTC,,867,2014-11-03 22:35:38 UTC,Lump Zhen
672,尺度,,26171834,2014-05-11 12:00:09 UTC,,18042765,2014-11-03 22:36:03 UTC,measure
673,广东+宣传部,,406,2014-05-11 12:00:33 UTC,,313491,2014-11-03 22:36:28 UTC,Guangdong + Propaganda Department
674,南方周末+新年献词,,21,2014-05-11 12:00:58 UTC,,197969,2014-11-03 22:36:54 UTC,Southern Weekly + New Year’s greeting
675,南周+新年献词,,20,2014-05-11 12:01:22 UTC,,84545,2014-11-03 22:37:41 UTC,Nan Zhou + New Year’s greeting
676,中国梦+宪政梦,1,-1,2014-05-11 12:03:21 UTC,宪政,0,2014-11-03 22:38:25 UTC,China dream + dream of constitutionalism
677,牛妖,,2532978,2014-05-11 12:03:44 UTC,,27843,2014-11-03 22:39:13 UTC,Ox Demon
678,戴相龙,,695467,2014-05-11 12:04:08 UTC,,404219,2014-11-03 22:40:00 UTC,Dai Xianglong
679,致敬十大反对者,1,-1,2014-05-11 12:05:44 UTC,致敬反对者,0,2014-11-03 22:40:48 UTC,Tribute to Ten Protesters
680,泰鸿公司,1,-1,2014-05-11 12:07:19 UTC,泰鸿公司,0,2014-11-03 22:41:30 UTC,Taihong Co.
681,陈破空,1,-1,2014-05-11 12:08:55 UTC,陈破空,0,2014-11-03 22:42:15 UTC,Chen Pokong
682,李克强+PS,1,-1,2014-05-11 12:10:31 UTC,李克强PS,0,2014-11-03 22:42:57 UTC,Li Keqiang + PS
683,新华社+PS,,189525,2014-05-11 12:10:55 UTC,,125787,2014-11-03 22:43:47 UTC,Xinhua + PS
684,俞正声+哥哥,1,-1,2014-05-11 12:12:31 UTC,俞正声哥哥,0,2014-11-03 22:44:33 UTC,Yu Zhengsheng + older brother
685,俞正声+家族,1,-1,2014-05-11 12:14:07 UTC,俞正声家族,0,2014-11-03 22:45:11 UTC,Yu Zhengsheng + family
686,张德江+动车,1,-1,2014-05-11 12:16:07 UTC,德江动车,0,2014-11-03 22:45:31 UTC,Zhang Dejiang + power car
687,素鸡,,941,2014-05-11 12:16:31 UTC,,809108,2014-11-03 22:45:54 UTC,veggie chicken
688,全能神,1,-1,2014-05-11 12:17:44 UTC,全能神,163996,2014-11-03 22:46:18 UTC,Almighty God
689,东方闪电,1,-1,2014-05-11 12:18:56 UTC,东方闪电,0,2014-11-03 22:46:40 UTC,Eastern Lightning
690,实际神,1,-1,2014-05-11 12:20:08 UTC,实际神,0,2014-11-03 22:47:00 UTC,Real God
691,长老,,4648512,2014-05-11 12:20:32 UTC,,3797456,2014-11-03 22:47:25 UTC,elders
692,七常委,,115371,2014-05-11 12:20:56 UTC,,50538,2014-11-03 22:47:53 UTC,seven Standing Committee members
693,长萎,1,-1,2014-05-11 12:22:09 UTC,长萎,0,2014-11-03 22:48:41 UTC,long atrophy
694,常萎,1,-1,2014-05-11 12:23:20 UTC,常萎,0,2014-11-03 22:49:26 UTC,often atrophy
695,河殇,1,-1,2014-05-11 12:24:32 UTC,河殇,0,2014-11-03 22:50:07 UTC,River Elegy
696,令JH,1,-1,2014-05-11 12:25:43 UTC,令JH,0,2014-11-03 22:50:53 UTC,Ling JH
697,谷丽萍,1,-1,2014-05-11 12:27:22 UTC,谷丽萍,0,2014-11-03 22:51:34 UTC,Gu Liping
698,谷源旭,1,-1,2014-05-11 12:28:59 UTC,谷源旭,0,2014-11-03 22:52:20 UTC,Gu Yuanxu
699,周本顺,,283,2014-05-11 12:29:23 UTC,,72505,2014-11-03 22:53:13 UTC,Zhou Benshun
700,部长,,55579217,2014-05-11 12:29:48 UTC,,40536960,2014-11-03 22:53:58 UTC,department head
701,中组部,,1432158,2014-05-11 12:30:12 UTC,,911378,2014-11-03 22:54:48 UTC,Central Committee Organization Department
702,刘奇葆,1,-1,2014-05-11 12:31:49 UTC,刘奇葆,0,2014-11-03 22:55:30 UTC,Liu Qibao
703,新疆+切糕,,1923351,2014-05-11 12:32:13 UTC,,1241525,2014-11-03 22:56:12 UTC,Xinjiang + qiegao
704,岳阳+切糕,,505936,2014-05-11 12:32:37 UTC,,286625,2014-11-03 22:56:37 UTC,Yueyang + qiegao
705,切糕+16万,,904752,2014-05-11 12:33:01 UTC,,484574,2014-11-03 22:57:02 UTC,"qiegao + 160,000"
706,卫星锅盖,,101,2014-05-11 12:33:25 UTC,,174,2014-11-03 22:57:30 UTC,satellite dish
707,李彦宏+离婚,,331,2014-05-11 12:33:49 UTC,,8249,2014-11-03 22:58:18 UTC,Robin Li + divorce
708,李彦宏+婚变,,14,2014-05-11 12:34:13 UTC,,495,2014-11-03 22:59:06 UTC,Robin Li + marriage crisis
709,李彦宏+小三,,94,2014-05-11 12:34:37 UTC,,699,2014-11-03 22:59:55 UTC,Robin Li + mistress
710,鸿忠+录音笔,,1649,2014-05-11 12:35:01 UTC,,12372,2014-11-03 23:00:42 UTC,Hongzhong + pen recorder
711,抢录音笔,1,-1,2014-05-11 12:36:37 UTC,抢录音笔,0,2014-11-03 23:01:28 UTC,grab the pen recorder
712,抢笔书记,1,-1,2014-05-11 12:38:13 UTC,抢笔书记,0,2014-11-03 23:02:09 UTC,pen-grabbing secretary
713,抢笔省长,1,-1,2014-05-11 12:39:48 UTC,抢笔省长,0,2014-11-03 23:02:50 UTC,pen-grabbing governor
714,录音笔事件,1,-1,2014-05-11 12:41:23 UTC,录音笔事件,0,2014-11-03 23:03:30 UTC,pen recorder incident
715,eighteen big,,660,2014-05-11 12:41:47 UTC,,2428,2014-11-03 23:04:12 UTC,eighteen big
716,向巴平措,1,-1,2014-05-11 12:43:22 UTC,向巴平措,0,2014-11-03 23:04:58 UTC,Qiangba Puncog
717,习JP,1,-1,2014-05-11 12:44:33 UTC,习JP,0,2014-11-03 23:05:38 UTC,XiJP
718,习书记,1,-1,2014-05-11 12:45:45 UTC,习书记,0,2014-11-03 23:05:58 UTC,Secretary Xi
719,习皇,1,-1,2014-05-11 12:46:57 UTC,习皇,0,2014-11-03 23:06:19 UTC,Emperor Xi
720,习夫人,1,-1,2014-05-11 12:48:09 UTC,习夫人,0,2014-11-03 23:06:40 UTC,Lady Xi
721,皇后娘娘,,1223159,2014-05-11 12:48:34 UTC,,821221,2014-11-03 23:07:04 UTC,Her Majesty the Empress
722,第一夫人,,2295784,2014-05-11 12:48:58 UTC,,1551160,2014-11-03 23:07:29 UTC,First Lady
723,彭夫人,1,-1,2014-05-11 12:50:10 UTC,彭夫人,0,2014-11-03 23:07:51 UTC,Lady Peng
724,dejiang,1,-1,2014-05-11 12:50:34 UTC,dejiang,0,2014-11-03 23:08:12 UTC,dejiang
725,gaoli,,21426,2014-05-11 12:50:58 UTC,,17531,2014-11-03 23:08:35 UTC,gaoli
726,jiaqinglin,1,-1,2014-05-11 12:51:21 UTC,jiaqinglin,0,2014-11-03 23:08:57 UTC,jiaqinglin
727,jinping,1,-1,2014-05-11 12:51:45 UTC,jinping,0,2014-11-03 23:09:18 UTC,jinping
728,keqiang,1,-1,2014-05-11 12:52:09 UTC,keqiang,0,2014-11-03 23:09:38 UTC,keqiang
729,qishan,1,-1,2014-05-11 12:52:33 UTC,qishan,0,2014-11-03 23:10:00 UTC,qishan
730,wangyang,,62632,2014-05-11 12:52:57 UTC,,59822,2014-11-03 23:10:22 UTC,wangyang
731,yunshan,1,-1,2014-05-11 12:53:20 UTC,yunshan,0,2014-11-03 23:10:43 UTC,yunshan
732,zhengsheng,1,-1,2014-05-11 12:53:45 UTC,zhengsheng,0,2014-11-03 23:11:03 UTC,zhengsheng
733,七巨头,1,-1,2014-05-11 12:54:57 UTC,七巨头,0,2014-11-03 23:11:24 UTC,Seven Chiefs
734,李总理,,316891,2014-05-11 12:55:21 UTC,,190936,2014-11-03 23:11:49 UTC,Prime Minister Li
735,金日成+大学,,262034,2014-05-11 12:55:45 UTC,,158818,2014-11-03 23:12:11 UTC,Kim Il-sung + university
736,刘永清,1,-1,2014-05-11 12:57:23 UTC,刘永清,0,2014-11-03 23:12:32 UTC,Liu Yongqing
737,温总理,,295,2014-05-11 12:57:47 UTC,,1117026,2014-11-03 23:12:55 UTC,Prime Minister Wen
738,阎晶晶,1,-1,2014-05-11 12:59:00 UTC,阎晶晶,0,2014-11-03 23:13:17 UTC,Yan Jingjing
739,薄温,1,-1,2014-05-11 13:00:14 UTC,薄温,0,2014-11-03 23:13:37 UTC,Bo Wen
740,开会+打架,,210966,2014-05-11 13:00:37 UTC,,106214,2014-11-03 23:14:01 UTC,hold a meeting + fight
741,会场+打架,,581,2014-05-11 13:01:01 UTC,,7220,2014-11-03 23:14:25 UTC,assembly hall + fight
742,会后+打架,,199,2014-05-11 13:01:28 UTC,,498,2014-11-03 23:14:50 UTC,after the meeting + fight
743,登基,,3833878,2014-05-11 13:01:53 UTC,,2898718,2014-11-03 23:15:15 UTC,ascend the throne
744,内定,,3179754,2014-05-11 13:02:17 UTC,,2953897,2014-11-03 23:15:43 UTC,decide behind closed doors
745,习李,1,-1,2014-05-11 13:03:30 UTC,习李,0,2014-11-03 23:16:29 UTC,Xi-Li
746,裸腿,,330,2014-05-11 13:03:54 UTC,,378738,2014-11-03 23:17:15 UTC,naked leg
747,裸退,1,-1,2014-05-11 13:05:08 UTC,裸退,0,2014-11-03 23:18:01 UTC,naked retirement
748,七长老,1,-1,2014-05-11 13:06:20 UTC,七长老,0,2014-11-03 23:18:48 UTC,Seven Elders
749,政治中心区,,606,2014-05-11 13:06:44 UTC,,21651,2014-11-03 23:19:39 UTC,area of political importance
