id,name,banned,results,datetested,trigger,results2,datetested2,translation
46,应亮+我还有话要说,1,-1,2014-05-10 17:14:46 UTC,应亮我还有话要说,0,2014-11-03 17:15:58 UTC,Ying Liang+When Night Falls
47,应亮+杨佳,1,-1,2014-05-10 17:16:23 UTC,应亮杨佳,0,2014-11-03 17:16:49 UTC,Ying Liang+Yang Jia
48,申维辰+谭晶,1,-1,2014-05-10 17:17:58 UTC,申维辰谭晶,0,2014-11-03 17:17:39 UTC,Shen Weichen+Tan Jing
49,柯玲玲,1,-1,2014-05-10 17:19:38 UTC,柯玲玲,0,2014-11-03 17:18:24 UTC,Ke Lingling
50,习近平+前妻,1,-1,2014-05-10 17:21:35 UTC,习平前妻,0,2014-11-03 17:19:11 UTC,Xi Jinping+former wife
51,刘卫国,1,-1,2014-05-10 17:22:50 UTC,刘卫国,0,2014-11-03 17:19:48 UTC,Liu Weiguo
52,丁家喜+法院,1,-1,2014-05-10 17:24:25 UTC,丁家喜法院,0,2014-11-03 17:20:08 UTC,Ding Jiaxi+court
53,丁家喜+旁听,1,-1,2014-05-10 17:26:03 UTC,丁家喜旁听,0,2014-11-03 17:20:28 UTC,Ding Jiaxi+observe [trial]
54,丁家喜+财产公示,1,-1,2014-05-10 17:27:37 UTC,丁家喜财产公示,0,2014-11-03 17:20:49 UTC,Ding Jiaxi+financial disclosure
55,丁家喜+官员财产,1,-1,2014-05-10 17:29:12 UTC,丁家喜官员财产,0,2014-11-03 17:21:09 UTC,Ding Jiaxi+officials' assets
56,李蔚+法院,1,-1,2014-05-10 17:30:48 UTC,李蔚法院,0,2014-11-03 17:21:30 UTC,Li Wei+court
57,李蔚+旁听,1,-1,2014-05-10 17:32:25 UTC,李蔚旁听,0,2014-11-03 17:21:50 UTC,Li Wei+observe [trial]
58,李蔚+财产公示,1,-1,2014-05-10 17:34:00 UTC,李蔚财产公示,0,2014-11-03 17:22:11 UTC,Li Wei+financial disclosure
59,李蔚+官员财产,1,-1,2014-05-10 17:35:37 UTC,李蔚官员财产,0,2014-11-03 17:22:31 UTC,Li Wei+officials' assets
60,公民+运动,1,-1,2014-05-10 17:36:53 UTC,公民运动,0,2014-11-03 17:22:52 UTC,citizen+movement
61,赵常青,1,-1,2014-05-11 01:50:02 UTC,赵常青,0,2014-11-03 17:23:12 UTC,Zhao Changqing
62,茂名+PX,,436757,2014-05-11 01:50:31 UTC,,171213,2014-11-03 17:23:37 UTC,Maoming+PX
63,茂名+P（X）,,7,2014-05-11 01:50:55 UTC,,353900,2014-11-03 17:24:01 UTC,Maoming+P[X]
64,茂名+芳烃,,77,2014-05-11 01:51:21 UTC,,19656,2014-11-03 17:24:27 UTC,Maoming+aromatic hydrocarbon
65,茂名+化工,1,-1,2014-05-11 01:52:45 UTC,茂名化工,96981,2014-11-03 17:24:55 UTC,Maoming+chemical industry
66,茂名+石化工程,1,-1,2014-05-11 01:54:32 UTC,茂名石化工程,17548,2014-11-03 17:25:21 UTC,Maoming+petrochemical engineering project
67,茂名+血腥,,130,2014-05-11 01:54:56 UTC,,13278,2014-11-03 17:25:44 UTC,Maoming+bloody
68,茂名+警察,,110417,2014-05-11 01:55:22 UTC,,55678,2014-11-03 17:26:09 UTC,Maoming+police
69,茂名+坦克,,100,2014-05-11 01:55:46 UTC,,15465,2014-11-03 17:26:33 UTC,Maoming+tank
70,茂名+屠杀,,50,2014-05-11 01:56:10 UTC,,3093,2014-11-03 17:26:56 UTC,Maoming+massacre
71,茂名+冲突,1,-1,2014-05-11 01:57:25 UTC,茂名冲突,23714,2014-11-03 17:27:19 UTC,Maoming+conflict
72,茂名+示威,,118,2014-05-11 01:57:49 UTC,,14435,2014-11-03 17:27:43 UTC,Maoming+demonstration
73,茂名+游行,,6592,2014-05-11 01:58:14 UTC,,6186,2014-11-03 17:28:09 UTC,Maoming+march
74,茂名+聚集,,428,2014-05-11 02:19:43 UTC,,24747,2014-11-03 17:28:35 UTC,Maoming+assemble
75,茂名+上街+散步,1,-1,2014-05-11 02:21:42 UTC,上街散步,0,2014-11-03 17:28:56 UTC,Maoming+take to the streets+take a walk
76,maoming+PX,,8,2014-05-11 02:22:08 UTC,,865,2014-11-03 17:29:18 UTC,maoming+PX
77,maoming+上街+散步,1,-1,2014-05-11 02:23:49 UTC,上街散步,0,2014-11-03 17:29:40 UTC,Maoming+take to the streets+take a walk
78,詹敏利,1,-1,2014-05-11 02:25:24 UTC,詹敏利,0,2014-11-03 17:30:01 UTC,Zhan Muli
79,茂名,,10181515,2014-05-11 02:25:48 UTC,,6918885,2014-11-03 17:30:24 UTC,Maoming
80,PX,,9736077,2014-05-11 02:26:12 UTC,,6005899,2014-11-03 17:30:48 UTC,PX
81,三峡+老虎,1,-1,2014-05-11 02:58:26 UTC,三峡老虎,0,2014-11-03 17:31:10 UTC,Three Gorges+tiger
82,电力+老虎,1,-1,2014-05-11 02:59:37 UTC,电力老虎,0,2014-11-03 17:31:30 UTC,electric power+tiger
83,张春贤+国安委,1,-1,2014-05-11 03:01:35 UTC,春贤国安委,0,2014-11-03 17:31:51 UTC,Zhang Chunxian+National Security Commission
